,timestep,location_0_x,location_0_y,location_1_x,location_1_y,location_2_x,location_2_y,location_3_x,location_3_y,location_4_x,location_4_y,location_5_x,location_5_y,location_6_x,location_6_y,location_7_x,location_7_y,location_8_x,location_8_y
0,0,39.85936629,0.498053509,63.82326648,3.506075536,68.22706185,3.501946491,32.06033959,3.499835598,64.19721103,3.511962882,64.75102255,3.505456401,35.73531883,0.498053509,63.96308806,3.506328821,34.77061716,3.500630337
1,0.05,39.73363554,0.498053509,64.01970164,3.506075536,68.52822919,3.501946491,31.77068359,3.499835598,64.45082945,3.511962882,64.98621406,3.505456401,35.48071427,0.498053509,64.22820906,3.506328821,34.51164864,3.500630337
2,0.1,39.60604601,0.498053509,64.22269101,3.506075536,68.83156945,3.501946491,31.47885465,3.499835598,64.70439092,3.511962882,65.22144008,3.505456401,35.22393679,0.498053509,64.49553104,3.506328821,34.2505072,3.500630337
3,0.15,39.47644945,0.498053509,64.43147952,3.506075536,69.13708264,3.501946491,31.18485279,3.499835598,64.9586086,3.511962882,65.45670222,3.505456401,34.96498638,0.498053509,64.76429662,3.506328821,33.98719282,3.500630337
4,0.2,39.34473137,0.498053509,64.64434129,3.506075536,69.44476876,3.501946491,30.888678,3.499835598,65.21520269,3.511962882,65.69200239,3.505456401,34.70386305,0.498053509,65.03318239,3.506328821,33.72170552,3.500630337
5,0.25,39.21162378,0.498053509,64.8631625,3.506075536,69.75462781,3.501946491,30.59033029,3.499835598,65.47228729,3.511962882,65.92734293,3.505456401,34.44056678,0.498053509,65.30486861,3.506328821,33.45404529,3.500630337
6,0.3,39.07870283,0.498053509,65.08850122,3.506075536,70.06665979,3.501946491,30.28980964,3.499835598,65.72931114,3.511962882,66.1627265,3.505456401,34.17509759,0.498053509,65.57879586,3.506328821,33.18421212,3.500630337
7,0.35,48.99945677,0.999456768,49.00054323,2.000543232,49.00054323,3.000543232,49.99945677,1.000543232,50.00054323,2.000543232,50.00054323,3.000543232,50.99945677,0.999456768,51.00054323,2.000543232,50.99945677,3.000543232
8,0.4,48.99762616,0.996740607,49.00325939,2.003259393,49.00325939,3.003259393,49.99674061,1.003259393,50.00325939,2.003259393,50.00325939,3.003259393,50.99674061,0.996740607,51.00325939,2.002510837,50.99674061,3.003112021
9,0.45,48.99671886,0.991851518,49.00798337,2.008148482,49.00814848,3.008148482,49.99185152,1.008148482,50.00814848,2.008148482,50.00814848,3.008148482,50.99185152,0.991851518,51.00814848,2.003634704,50.99185152,3.007411623
10,0.5,48.99497084,0.9847895,49.01438494,2.0152105,49.0152105,3.0152105,49.9847895,1.0152105,50.0152105,2.0152105,50.0152105,3.0152105,50.9847895,0.9847895,51.0152105,2.004618506,50.9847895,3.013832536
11,0.55,48.9916251,0.975554554,49.02295943,2.024445446,49.02444545,3.024445446,49.97555455,1.024445446,50.02444545,2.024445446,50.02444545,3.024445446,50.97555455,0.975554554,51.02385602,2.007615229,50.97555455,3.022271525
12,0.6,48.98782098,0.964146679,49.03370686,2.035853321,49.03585332,3.035853321,49.96414668,1.035853321,50.03585332,2.035853321,50.03585332,3.035853321,50.96414668,0.964146679,51.0323334,2.01193196,50.96414668,3.032883443
13,0.65,48.98253116,0.950565876,49.04662721,2.049434124,49.04943412,3.049434124,49.95056588,1.049434124,50.04943412,2.049434124,50.04943412,3.049434124,50.95056588,0.950565876,51.04126542,2.017302924,50.95056588,3.045668289
14,0.7,48.97664275,0.934812144,49.06139983,2.065187856,49.06518786,3.065187856,49.93481214,1.065187856,50.06518786,2.065187856,50.06518786,3.065187856,50.93481214,0.934812144,51.05194575,2.024846818,50.93481214,3.059997399
15,0.75,48.97029596,0.916885484,49.07738341,2.083114516,49.08311452,3.083114516,49.91688548,1.083114516,50.08311452,2.083114516,50.08311452,3.083114516,50.91688548,0.916885484,51.06352515,2.033970364,50.91688548,3.074613442
16,0.8,48.96241487,0.896785895,49.09492199,2.103214105,49.10321411,3.103214105,49.89678589,1.103214105,50.10321411,2.103214105,50.10321411,3.103214105,50.89678589,0.896785895,51.07619101,2.043487009,50.89678589,3.091402414
17,0.85,48.95266615,0.874513377,49.11277974,2.125486623,49.12548662,3.125486623,49.87451338,1.125486623,50.12548662,2.125486623,50.12548662,3.125486623,50.87451338,0.874513377,51.08745566,2.054669505,50.87451338,3.110364314
18,0.9,48.94187175,0.850067931,49.13272691,2.149932069,49.14993207,3.149932069,49.85006793,1.149932069,50.14993207,2.149932069,50.14993207,3.149932069,50.85006793,0.850067931,51.09955816,2.066503694,50.85006793,3.131499143
19,0.95,48.92975296,0.823449557,49.15459647,2.176550443,49.17655044,3.176550443,49.82344956,1.176550443,50.17655044,2.176550443,50.17598292,3.175982925,50.82344956,0.823449557,51.11259158,2.079925457,50.82293417,3.154291516
20,1,48.91610458,0.794658254,49.1781168,2.205341746,49.20534175,3.205341746,49.79465825,1.205341746,50.20534175,2.205341746,50.20193206,3.201932061,50.79465825,0.794658254,51.12758935,2.09302886,50.79157147,3.177200803
21,1.05,48.90028328,0.763694022,49.20181189,2.236305978,49.23630598,3.236305978,49.76369402,1.236305978,50.23630598,2.236305978,50.22776037,3.227760365,50.76369402,0.763694022,51.14476004,2.105079142,50.75600312,3.200250302
22,1.1,48.88228905,0.730556862,49.22637196,2.269443138,49.26944314,3.269443138,49.73055686,1.269443138,50.26944314,2.269443138,50.25344517,3.253445166,50.73055686,0.730556862,51.16374924,2.116241224,50.71625783,3.223468712
23,1.15,48.86212189,0.695246773,49.25306671,2.304753227,49.30475323,3.304753227,49.69524677,1.304753227,50.30475323,2.304753227,50.27895872,3.278958724,50.69524677,0.695246773,51.18378922,2.129576234,50.67237241,3.24689285
24,1.2,48.83978181,0.657763756,49.2819344,2.342236244,49.34223624,3.342236244,49.65776376,1.342236244,50.34223624,2.342236244,50.304391,3.304390999,50.65776376,0.657763756,51.20568959,2.145084172,50.62439697,3.269499821
25,1.25,48.81628019,0.618107811,49.31261303,2.381892189,49.38189219,3.381892189,49.61810781,1.381892189,50.38189219,2.381892189,50.32994301,3.329943015,50.61810781,0.618107811,51.22897956,2.162662894,50.57241401,3.289226089
26,1.3,48.79363982,0.576278936,49.34420107,2.423721064,49.42372106,3.423721064,49.57627894,1.423721064,50.42372106,2.423721064,50.35526382,3.355263823,50.57627894,0.576307156,51.25331515,2.181789339,50.51659092,3.308978977
27,1.35,48.76991298,0.532277134,49.37737022,2.467722866,49.46772287,3.467722866,49.53227713,1.467722866,50.46772287,2.467722866,50.38042139,3.380421389,50.53227713,0.532418234,51.27982366,2.202132395,50.45729617,3.32816873
28,1.4,48.74727261,0.498053509,49.41253504,2.513897598,49.5138976,3.501946491,49.4861024,1.513897598,50.5138976,2.513897598,50.40486801,3.404868011,50.4861024,0.498279269,51.30822373,2.22464838,50.3955852,3.349288129
29,1.45,48.72245932,0.498053509,49.44987279,2.562245257,49.56224526,3.501946491,49.43775474,1.562245257,50.56224526,2.562245257,50.42882714,3.428827138,50.43775474,0.498279269,51.33741786,2.249337293,50.33351467,3.374393819
30,1.5,48.69564565,0.498053509,49.48902038,2.612765846,49.61276585,3.501946491,49.38723415,1.612765846,50.61276585,2.612765846,50.45406759,3.454067588,50.38723415,0.498279269,51.36701623,2.275854904,50.2718408,3.404242029
31,1.55,48.6676521,0.498053509,49.52925163,2.665459363,49.66483962,3.501946491,49.33454064,1.665459363,50.66545936,2.665459363,50.48235652,3.482356524,50.33454064,0.498279269,51.39829417,2.303414069,50.2089901,3.437259275
32,1.6,48.63891164,0.498053509,49.57056935,2.720325808,49.71662076,3.501946491,49.27967419,1.720325808,50.72032581,2.720325808,50.51428617,3.505581213,50.27967419,0.498279269,51.43174503,2.332464862,50.14469762,3.473180581
33,1.65,48.60835774,0.498053509,49.61080061,2.777365182,49.76817524,3.501946491,49.22263482,1.777365182,50.77736518,2.777365182,50.55014523,3.505581213,50.22263482,0.498279269,51.46729956,2.362532842,50.07866261,3.50164259
